"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","apple.com","5,229,035","100"
"2","www.google.com","12,377,836","100"
"3","youtube.com","18,440,029","100"
"4","microsoft.com","4,552,860","99"
"5","support.google.com","4,597,178","99"
"6","play.google.com","3,112,177","99"
"7","www.blogger.com","25,962,624","99"
"8","linkedin.com","9,388,719","99"
"9","adobe.com","2,746,822","98"
"10","cloudflare.com","5,242,802","98"
"11","youtu.be","3,939,515","98"
"12","maps.google.com","4,408,011","98"
"13","en.wikipedia.org","5,458,327","98"
"14","wordpress.org","10,293,943","98"
"15","docs.google.com","2,374,463","98"
"16","drive.google.com","1,820,204","97"
"17","accounts.google.com","2,500,843","97"
"18","plus.google.com","11,719,194","97"
"19","vimeo.com","3,088,198","97"
"20","googleusercontent.com","2,206,021","97"
"21","sites.google.com","1,772,842","97"
"22","mozilla.org","1,897,197","97"
"23","europa.eu","1,657,189","97"
"24","istockphoto.com","3,156,226","96"
"25","uol.com.br","566,319","96"
"26","amazon.com","4,046,724","96"
"27","line.me","651,018","96"
"28","github.com","2,075,006","96"
"29","medium.com","1,160,775","96"
"30","bbc.co.uk","1,402,910","96"
"31","vk.com","1,642,384","96"
"32","es.wikipedia.org","780,243","96"
"33","pt.wikipedia.org","356,954","96"
"34","bp.blogspot.com","16,186,198","96"
"35","facebook.com","47,623,475","96"
"36","paypal.com","901,876","95"
"37","feedburner.com","1,715,453","95"
"38","nytimes.com","1,683,000","95"
"39","google.co.jp","631,296","95"
"40","live.com","733,548","95"
"41","google.de","1,064,080","95"
"42","www.yahoo.com","1,029,596","95"
"43","brandbucket.com","11,051,753","95"
"44","mail.google.com","438,766","95"
"45","w3.org","1,046,399","95"
"46","dropbox.com","921,792","95"
"47","news.google.com","697,972","95"
"48","get.google.com","758,657","95"
"49","issuu.com","843,036","95"
"50","google.com.br","272,994","95"
"51","forbes.com","1,126,466","95"
"52","whatsapp.com","2,125,846","95"
"53","bbc.com","656,482","95"
"54","msn.com","969,981","95"
"55","abril.com.br","222,587","95"
"56","cnn.com","1,207,412","95"
"57","policies.google.com","1,136,388","95"
"58","developers.google.com","880,125","95"
"59","imdb.com","1,225,993","95"
"60","fr.wikipedia.org","527,928","95"
"61","jimdofree.com","1,695,111","95"
"62","google.es","424,989","95"
"63","reuters.com","718,540","95"
"64","t.me","634,613","95"
"65","slideshare.net","876,542","95"
"66","nih.gov","1,041,495","95"
"67","google.fr","388,626","95"
"68","creativecommons.org","1,590,263","95"
"69","wikimedia.org","1,376,894","95"
"70","dailymotion.com","1,059,159","95"
"71","theguardian.com","1,194,946","95"
"72","opera.com","729,886","95"
"73","globo.com","379,849","95"
"74","hugedomains.com","4,880,829","95"
"75","mail.ru","483,499","95"
"76","myspace.com","1,256,490","95"
"77","gstatic.com","583,115","95"
"78","files.wordpress.com","2,442,297","94"
"79","businessinsider.com","566,018","94"
"80","change.org","399,513","94"
"81","mediafire.com","764,742","94"
"82","4shared.com","509,028","94"
"83","news.yahoo.com","572,494","94"
"84","namecheap.com","1,132,157","94"
"85","hatena.ne.jp","1,340,425","94"
"86","huffpost.com","761,967","94"
"87","wikia.com","455,436","94"
"88","ebay.com","866,493","94"
"89","booking.com","348,352","94"
"90","bit.ly","4,103,567","94"
"91","myaccount.google.com","268,553","94"
"92","un.org","422,486","94"
"93","ig.com.br","130,495","94"
"94","id.wikipedia.org","417,231","94"
"95","amazon.co.jp","769,190","94"
"96","amazon.co.uk","630,806","94"
"97","steampowered.com","217,049","94"
"98","google.pl","204,754","94"
"99","webmd.com","547,481","94"
"100","independent.co.uk","511,245","94"
"101","plesk.com","702,784","94"
"102","huffingtonpost.com","862,219","94"
"103","aliexpress.com","441,879","94"
"104","latimes.com","582,703","94"
"105","samsung.com","296,357","94"
"106","washingtonpost.com","865,038","94"
"107","wired.com","527,550","94"
"108","photos.google.com","250,726","94"
"109","buydomains.com","1,110,055","94"
"110","tools.google.com","1,431,424","94"
"111","rakuten.co.jp","576,713","94"
"112","ipv4.google.com","353,107","94"
"113","indiatimes.com","330,244","94"
"114","time.com","604,535","94"
"115","goo.gl","4,180,059","94"
"116","dan.com","1,905,434","94"
"117","www.wikipedia.org","509,774","94"
"118","draft.blogger.com","10,079,855","94"
"119","android.com","263,665","94"
"120","amazon.de","489,315","94"
"121","www.gov.uk","482,118","94"
"122","search.google.com","1,063,063","94"
"123","wa.me","569,861","94"
"124","tinyurl.com","1,256,217","94"
"125","fb.com","364,789","94"
"126","telegram.me","273,859","94"
"127","archive.org","893,661","94"
"128","youronlinechoices.com","493,662","94"
"129","foxnews.com","448,585","94"
"130","mirror.co.uk","257,237","94"
"131","cpanel.com","1,184,309","94"
"132","www.weebly.com","1,427,069","94"
"133","ft.com","347,344","94"
"134","aboutads.info","469,493","94"
"135","wsj.com","796,138","94"
"136","aol.com","646,316","94"
"137","translate.google.com","270,981","94"
"138","who.int","1,940,833","94"
"139","office.com","350,659","94"
"140","elpais.com","324,779","94"
"141","fandom.com","442,927","94"
"142","cnet.com","550,923","94"
"143","google.it","411,902","94"
"144","networkadvertising.org","685,045","94"
"145","nasa.gov","545,989","94"
"146","cdc.gov","646,284","94"
"147","books.google.com","342,407","94"
"148","marketingplatform.google.com","733,378","94"
"149","google.co.uk","542,765","94"
"150","ok.ru","336,578","94"
"151","twitter.com","49,750,005","94"
"152","lefigaro.fr","185,044","94"
"153","picasaweb.google.com","609,698","94"
"154","thesun.co.uk","251,641","94"
"155","google.ru","187,495","94"
"156","telegraph.co.uk","761,579","94"
"157","it.wikipedia.org","279,348","94"
"158","pinterest.com","7,466,511","94"
"159","dailymail.co.uk","770,533","94"
"160","terra.com.br","184,742","94"
"161","scribd.com","652,528","94"
"162","harvard.edu","578,532","94"
"163","bloomberg.com","672,465","94"
"164","usatoday.com","636,799","94"
"165","cpanel.net","1,268,073","94"
"166","themeforest.net","501,268","94"
"167","gravatar.com","2,190,752","94"
"168","abcnews.go.com","466,590","94"
"169","de.wikipedia.org","583,413","94"
"170","yandex.ru","949,805","93"
"171","discord.gg","190,405","93"
"172","newyorker.com","316,330","93"
"173","imageshack.com","437,202","93"
"174","goo.ne.jp","294,172","93"
"175","picasa.google.com","246,605","93"
"176","netflix.com","241,350","93"
"177","storage.googleapis.com","554,490","93"
"178","pixabay.com","296,832","93"
"179","search.yahoo.com","419,501","93"
"180","amazon.fr","219,741","93"
"181","shutterstock.com","253,342","93"
"182","ggpht.com","572,912","93"
"183","dw.com","220,540","93"
"184","smh.com.au","258,495","93"
"185","enable-javascript.com","1,554,305","93"
"186","privacyshield.gov","390,944","93"
"187","yelp.com","828,813","93"
"188","lemonde.fr","222,718","93"
"189","addtoany.com","725,171","93"
"190","instagram.com","22,038,691","93"
"191","code.google.com","313,364","93"
"192","researchgate.net","325,818","93"
"193","e-recht24.de","429,329","93"
"194","www.wix.com","746,483","93"
"195","berkeley.edu","387,272","93"
"196","imageshack.us","782,125","93"
"197","usnews.com","318,297","93"
"198","mega.nz","151,701","93"
"199","cbsnews.com","422,526","93"
"200","abc.es","155,517","93"
"201","gnu.org","545,004","93"
"202","wiley.com","434,249","93"
"203","php.net","616,863","93"
"204","ytimg.com","268,321","93"
"205","spiegel.de","263,430","93"
"206","engadget.com","392,449","93"
"207","chicagotribune.com","293,214","93"
"208","alibaba.com","358,672","93"
"209","quora.com","308,453","93"
"210","google.com.tw","141,381","93"
"211","gofundme.com","269,579","93"
"212","gizmodo.com","342,424","93"
"213","loc.gov","371,033","93"
"214","cornell.edu","366,874","93"
"215","disqus.com","910,087","93"
"216","umich.edu","284,197","93"
"217","ria.ru","155,021","93"
"218","news.com.au","254,104","93"
"219","ja.wikipedia.org","321,210","93"
"220","afternic.com","2,015,336","93"
"221","theglobeandmail.com","215,257","93"
"222","express.co.uk","200,260","93"
"223","rapidshare.com","279,299","93"
"224","nationalgeographic.com","524,831","93"
"225","metro.co.uk","172,397","93"
"226","deezer.com","127,311","93"
"227","weibo.com","1,457,415","93"
"228","bloglovin.com","461,862","93"
"229","bund.de","461,166","93"
"230","urbandictionary.com","203,837","93"
"231","akamaihd.net","410,470","93"
"232","sciencedirect.com","422,653","93"
"233","list-manage.com","660,069","93"
"234","nypost.com","278,892","93"
"235","repubblica.it","167,709","93"
"236","mit.edu","560,763","93"
"237","nikkei.com","188,392","93"
"238","my.yahoo.com","1,145,802","93"
"239","t.co","1,702,798","93"
"240","surveymonkey.com","381,371","93"
"241","google.nl","232,584","93"
"242","whitehouse.gov","307,718","93"
"243","ted.com","477,207","93"
"244","allaboutcookies.org","330,070","93"
"245","cambridge.org","221,326","93"
"246","columbia.edu","269,331","93"
"247","guardian.co.uk","519,423","93"
"248","washington.edu","300,740","93"
"249","rottentomatoes.com","193,903","93"
"250","mozilla.com","193,804","93"
"251","ea.com","155,232","93"
"252","kickstarter.com","399,506","93"
"253","digg.com","834,989","93"
"254","ikea.com","259,668","93"
"255","noaa.gov","278,223","93"
"256","unesco.org","251,893","93"
"257","npr.org","594,130","93"
"258","playstation.com","178,436","93"
"259","bp2.blogger.com","522,215","93"
"260","google.co.in","249,119","93"
"261","adssettings.google.com","284,263","93"
"262","finance.yahoo.com","370,302","93"
"263","nginx.org","581,911","93"
"264","nginx.com","495,015","93"
"265","psychologytoday.com","268,479","93"
"266","lycos.com","664,974","93"
"267","pl.wikipedia.org","127,023","93"
"268","forms.gle","384,461","93"
"269","detik.com","353,423","93"
"270","elmundo.es","191,099","93"
"271","shopify.com","1,359,977","93"
"272","photobucket.com","1,583,835","93"
"273","ovh.com","445,096","93"
"274","google.co.id","153,096","93"
"275","discord.com","160,883","93"
"276","target.com","224,176","93"
"277","apache.org","876,829","93"
"278","yahoo.co.jp","609,343","93"
"279","bitly.com","377,412","93"
"280","britannica.com","271,303","93"
"281","groups.google.com","298,844","93"
"282","buzzfeed.com","441,201","93"
"283","nydailynews.com","296,871","93"
"284","cbc.ca","344,703","93"
"285","pbs.org","418,098","93"
"286","skype.com","366,063","93"
"287","spotify.com","1,144,334","93"
"288","techcrunch.com","383,982","93"
"289","sapo.pt","204,988","93"
"290","welt.de","156,131","93"
"291","sfgate.com","313,355","93"
"292","naver.com","441,975","93"
"293","academia.edu","286,372","93"
"294","instructables.com","272,629","93"
"295","addthis.com","691,749","93"
"296","princeton.edu","272,298","93"
"297","sciencemag.org","259,551","93"
"298","groups.yahoo.com","299,298","93"
"299","soundcloud.com","1,565,565","93"
"300","hm.com","150,896","93"
"301","xbox.com","142,357","93"
"302","disney.com","208,794","93"
"303","cnil.fr","159,380","93"
"304","rt.com","227,713","93"
"305","eventbrite.com","528,227","93"
"306","blackberry.com","131,191","93"
"307","ovh.co.uk","490,271","93"
"308","nature.com","437,856","93"
"309","cnbc.com","391,052","93"
"310","trustpilot.com","347,454","93"
"311","wikihow.com","344,818","93"
"312","biglobe.ne.jp","220,561","93"
"313","godaddy.com","2,413,513","93"
"314","goodreads.com","687,059","93"
"315","icann.org","469,136","93"
"316","photos1.blogger.com","822,621","93"
"317","secureserver.net","1,034,191","93"
"318","tripadvisor.com","448,860","93"
"319","hp.com","386,204","93"
"320","stanford.edu","502,337","93"
"321","ietf.org","331,457","93"
"322","oracle.com","500,546","93"
"323","doubleclick.net","642,577","93"
"324","ziddu.com","167,803","93"
"325","sedo.com","2,726,756","93"
"326","bing.com","886,750","93"
"327","mysql.com","378,491","93"
"328","hollywoodreporter.com","210,901","93"
"329","amazon.es","151,965","93"
"330","clickbank.net","446,397","93"
"331","sendspace.com","150,286","93"
"332","theatlantic.com","421,249","93"
"333","oup.com","301,265","93"
"334","ru.wikipedia.org","351,977","93"
"335","rambler.ru","229,107","93"
"336","nbcnews.com","566,156","93"
"337","stackoverflow.com","285,167","93"
"338","huawei.com","841,829","93"
"339","theverge.com","302,224","93"
"340","about.com","661,159","93"
"341","wp.com","926,848","93"
"342","netvibes.com","1,164,023","93"
"343","depositfiles.com","138,561","93"
"344","box.com","231,703","93"
"345","espn.com","305,562","93"
"346","mashable.com","339,399","93"
"347","www.over-blog.com","780,522","93"
"348","yadi.sk","175,063","93"
"349","m.wikipedia.org","227,632","93"
"350","sputniknews.com","134,230","93"
"351","gmail.com","179,166","93"
"352","variety.com","195,908","93"
"353","bandcamp.com","510,665","93"
"354","twitch.tv","309,931","93"
"355","thetimes.co.uk","299,210","93"
"356","amzn.to","725,178","93"
"357","economist.com","299,262","93"
"358","ovh.net","637,127","93"
"359","zendesk.com","463,862","93"
"360","googleblog.com","232,082","93"
"361","corriere.it","140,237","93"
"362","newsweek.com","243,518","93"
"363","abc.net.au","319,145","93"
"364","google.ca","304,361","93"
"365","20minutos.es","120,727","93"
"366","ibm.com","433,854","93"
"367","asus.com","134,887","93"
"368","walmart.com","265,301","93"
"369","sciencedaily.com","284,495","93"
"370","ign.com","228,701","93"
"371","thenextweb.com","163,546","92"
"372","netlify.app","255,249","92"
"373","etsy.com","1,529,125","92"
"374","fastcompany.com","250,441","92"
"375","answers.yahoo.com","186,451","92"
"376","marketwatch.com","279,790","92"
"377","canva.com","132,732","92"
"378","sky.com","179,728","92"
"379","liveinternet.ru","288,311","92"
"380","dictionary.com","245,383","92"
"381","sina.com.cn","1,053,905","92"
"382","boston.com","274,351","92"
"383","digitaltrends.com","165,392","92"
"384","utexas.edu","227,203","92"
"385","ssl-images-amazon.com","163,874","92"
"386","excite.co.jp","483,808","92"
"387","intel.com","216,980","92"
"388","scoop.it","333,745","92"
"389","stuff.co.nz","133,946","92"
"390","eonline.com","172,082","92"
"391","cbslocal.com","264,384","92"
"392","lifehacker.com","199,302","92"
"393","nba.com","175,211","92"
"394","reverbnation.com","186,434","92"
"395","calameo.com","150,615","92"
"396","thehill.com","168,758","92"
"397","dreamstime.com","134,452","92"
"398","timeout.com","128,585","92"
"399","amazon.in","139,136","92"
"400","e-monsite.com","135,948","92"
"401","nokia.com","153,639","92"
"402","softonic.com","128,476","92"
"403","channel4.com","140,900","92"
"404","dreniq.com","321,619","92"
"405","thestar.com","180,870","92"
"406","ucoz.ru","182,462","92"
"407","upenn.edu","256,180","92"
"408","yale.edu","270,681","92"
"409","sports.yahoo.com","175,602","92"
"410","hbr.org","211,644","92"
"411","amazon.it","126,338","92"
"412","ox.ac.uk","216,099","92"
"413","so-net.ne.jp","170,179","92"
"414","techradar.com","125,958","92"
"415","elsevier.com","227,949","92"
"416","slate.com","303,793","92"
"417","video.google.com","201,211","92"
"418","answers.com","214,553","92"
"419","ebay.co.uk","198,881","92"
"420","prnewswire.com","300,277","92"
"421","uiuc.edu","184,574","92"
"422","tabelog.com","137,968","92"
"423","billboard.com","159,519","92"
"424","zdnet.com","238,661","92"
"425","thoughtco.com","290,017","92"
"426","arxiv.org","178,556","92"
"427","vice.com","302,121","92"
"428","merriam-webster.com","231,794","92"
"429","foursquare.com","237,466","92"
"430","zeit.de","125,749","92"
"431","jhu.edu","179,919","92"
"432","fb.me","238,886","92"
"433","public-api.wordpress.com","174,777","92"
"434","vox.com","376,711","92"
"435","unsplash.com","332,683","92"
"436","imgur.com","1,119,621","92"
"437","kinja.com","185,843","92"
"438","mail.yahoo.com","170,492","92"
"439","sony.com","123,207","92"
"440","fda.gov","275,411","92"
"441","xing.com","404,812","92"
"442","vkontakte.ru","367,274","92"
"443","lonelyplanet.com","150,839","92"
"444","redhat.com","185,246","92"
"445","narod.ru","268,603","92"
"446","weather.com","206,727","92"
"447","usgs.gov","191,901","92"
"448","dot.tk","8,155,476","92"
"449","archives.gov","212,397","92"
"450","amazon.ca","178,154","92"
"451","livescience.com","210,920","92"
"452","iso.org","164,550","92"
"453","offset.com","925,652","92"
"454","daum.net","154,234","92"
"455","snapchat.com","158,664","92"
"456","undeveloped.com","405,197","92"
"457","over-blog-kiwi.com","178,145","92"
"458","feedproxy.google.com","759,299","92"
"459","fifa.com","137,975","92"
"460","adweek.com","161,196","92"
"461","asahi.com","159,548","92"
"462","thefreedictionary.com","189,727","92"
